BookingNumber,BrandCode,ProgramCode,TapeCode,TapeDuration,ScheduleDate,SpotRate,StartTime,EndTime
18111001S,INAPP00001,INBHA00046,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 7:00:00,1899-12-30 10:00:00
18111001S,INAPP00001,INBHA00046,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 7:00:00,1899-12-30 10:00:00
18111001S,INAPP00001,INBAH00004,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 7:00:00,1899-12-30 10:00:00
18111001S,INAPP00001,INMIX00001,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 7:00:00,1899-12-30 10:00:00
18111001S,INAPP00001,INAAJ00002,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 18:00:00,1899-12-30 23:00:00
18111001S,INAPP00001,INBHO00012,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 18:00:00,1899-12-30 23:00:00
18111001S,INAPP00001,INRET00001,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 18:00:00,1899-12-30 23:00:00
18111001S,INAPP00001,INENT00001,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 18:00:00,1899-12-30 23:00:00
18111001S,INAPP00001,INREC00001,INTVS00128,20,2018-11-01 0:00:00,102,1899-12-30 18:00:00,1899-12-30 23:00:00
18111001S,INAPP00001,INPYA00004,INTVS00129,30,2018-11-01 0:00:00,102,1899-12-30 7:00:00,1899-12-30 10:00:00
18111002S,INTTK00001,INBHA00046,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INPYA00004,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INAAJ00002,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INMIX00001,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INENT00001,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INSUP00002,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INBAH00004,INPRE00014,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INENT00001,INPRE00014,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INSUP00002,INPRE00014,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INBHA00046,INPRE00015,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INAAJ00002,INPRE00015,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INSUP00002,INPRE00015,20,2018-11-01 0:00:00,212.5,1899-12-30 6:00:00,1899-12-30 12:00:00
18111002S,INTTK00001,INAAJ00002,INPRE00013,20,2018-11-01 0:00:00,212.5,1899-12-30 12:00:00,1899-12-30 18:00:00
